Order	Family	Genus	Species	Red_List_status	Population_trend	IUCN.NUM	POP.NUM	Suit0k	Suit21k	Range0k	Range21k	DeltaRange	LogDR	DeltaSuit	LogDS	AdultBodyMass_g	LogBMg	GroupBMg
CARNIVORA	FELIDAE	Acinonyx	Acinonyx_jubatus	VU	NA	1	NA	0.452039672	0.514132831	2803	4376	-0.359460695	-0.445444793	-0.1207726	-0.128711712	50577.92	10.8312704	11
RODENTIA	MURIDAE	Acomys	Acomys_airensis	LC	stable	0	0	0.97909159	0.617153609	535	41	12.04878049	2.56869468	0.586463362	0.461507238	38.657	3.654727871	4
RODENTIA	MURIDAE	Acomys	Acomys_cahirinus	LC	stable	0	0	0.810492055	0.670057052	516	407	0.267813268	0.23729358	0.209586635	0.190278677	41.16	3.717466911	4
RODENTIA	MURIDAE	Acomys	Acomys_cineraceus	LC	stable	0	0	0.762879706	0.69652327	729	667	0.092953523	0.088883686	0.095268081	0.090999156	19.24	2.956991445	3
RODENTIA	MURIDAE	Acomys	Acomys_dimidiatus	LC	unknown	0	NA	0.947979996	0.539641457	554	35	14.82857143	2.761816625	0.756684893	0.56342845	50	3.912023005	4
RODENTIA	MURIDAE	Acomys	Acomys_ignitus	LC	stable	0	0	0.914145074	0.854243785	60	42	0.428571429	0.356674944	0.070122007	0.067772667	24	3.17805383	3
RODENTIA	MURIDAE	Acomys	Acomys_johannis	LC	stable	0	0	0.893928292	0.481656933	419	74	4.662162162	1.733805827	0.855943993	0.618393458	63.85388804	4.156597474	4
RODENTIA	MURIDAE	Acomys	Acomys_kempi	LC	stable	0	0	0.934858939	0.725548846	228	82	1.780487805	1.022626382	0.288485186	0.253467254	21.99	3.090587805	3
RODENTIA	MURIDAE	Acomys	Acomys_louisae	LC	stable	0	0	0.947493462	0.55709995	282	45	5.266666667	1.835244581	0.70076027	0.531075369	20.19	3.005187432	3
RODENTIA	MURIDAE	Acomys	Acomys_mullah	LC	unknown	0	NA	0.832151074	0.792869012	98	91	0.076923077	0.074107972	0.049544202	0.048355976	63.85388804	4.156597474	4
RODENTIA	MURIDAE	Acomys	Acomys_percivali	LC	stable	0	0	0.943139277	0.834569726	115	44	1.613636364	0.960742494	0.13009045	0.122297674	21.99	3.090587805	3
RODENTIA	MURIDAE	Acomys	Acomys_russatus	LC	unknown	0	NA	0.929223526	0.543369717	237	24	8.875	2.290006311	0.710112832	0.536559352	42.35	3.745968421	4
RODENTIA	MURIDAE	Acomys	Acomys_spinosissimus	LC	stable	0	0	0.846539737	0.659394669	891	625	0.4256	0.354592778	0.283813438	0.249834897	26.5	3.277144733	3
RODENTIA	MURIDAE	Acomys	Acomys_subspinosus	LC	stable	0	0	0.914846733	0.886366436	44	31	0.419354839	0.350202429	0.032131516	0.031626097	21.92	3.087399462	3
RODENTIA	MURIDAE	Acomys	Acomys_wilsoni	LC	stable	0	0	0.856245823	0.719622319	658	583	0.12864494	0.121017745	0.189854456	0.173830994	18.5	2.917770732	3
CETARTIODACTYLA	BOVIDAE	Addax	Addax_nasomaculatus	CR	NA	1	NA	0.871310242	0.878320956	45	44	0.022727273	0.022472856	-0.00798195	-0.008013976	96077.36	11.47290898	11
CETARTIODACTYLA	BOVIDAE	Aepyceros	Aepyceros_melampus	LC	stable	0	0	0.693341389	0.629607618	1787	1723	0.037144515	0.036471279	0.101227763	0.096425705	52591.69	10.8703134	11
RODENTIA	MURIDAE	Aethomys	Aethomys_bocagei	LC	unknown	0	NA	0.924950734	0.790377647	141	81	0.740740741	0.554310736	0.170264287	0.15722961	63.85388804	4.156597474	4
RODENTIA	MURIDAE	Aethomys	Aethomys_chrysophilus	LC	unknown	0	NA	0.836865739	0.566274297	1822	1037	0.756991321	0.56360287	0.477845177	0.390585065	80.85	4.392595586	4
RODENTIA	MURIDAE	Micaelamys	Aethomys_granti	LC	unknown	0	NA	0.912106209	0.851760882	78	18	3.333333333	1.466337069	0.070847732	0.068450608	40	3.688879454	4
RODENTIA	MURIDAE	Aethomys	Aethomys_hindei	LC	unknown	0	NA	0.79469637	0.691926292	1110	971	0.14315139	0.133788826	0.148527493	0.138480681	140.65	4.946274535	5
RODENTIA	MURIDAE	Aethomys	Aethomys_ineptus	LC	unknown	0	NA	0.926843038	0.793262442	231	127	0.818897638	0.598230624	0.168393951	0.155630114	133.16	4.891551413	5
RODENTIA	MURIDAE	Aethomys	Aethomys_kaiseri	LC	unknown	0	NA	0.715186569	0.772781783	858	1155	-0.257142857	-0.297251523	-0.074529725	-0.077453265	89.99	4.499698553	4
RODENTIA	MURIDAE	Micaelamys	Aethomys_namaquensis	LC	stable	0	0	0.806821661	0.793816511	1437	1613	-0.109113453	-0.115538192	0.016383068	0.016250313	62	4.127134385	4
RODENTIA	MURIDAE	Aethomys	Aethomys_nyikae	LC	unknown	0	NA	0.835735873	0.52601081	450	128	2.515625	1.257217319	0.588818817	0.462990858	77.015	4.344000208	4
RODENTIA	MURIDAE	Aethomys	Aethomys_silindensis	DD	unknown	NA	NA	0.583626263	0.777224834	53	197	-0.730964467	-1.312911815	-0.249089534	-0.286468854	83.48586401	4.424677324	4
RODENTIA	MURIDAE	Aethomys	Aethomys_stannarius	DD	unknown	NA	NA	0.745288135	0.642856027	162	119	0.361344538	0.308472842	0.159339112	0.147850112	83.48586401	4.424677324	4
RODENTIA	MURIDAE	Aethomys	Aethomys_thomasi	LC	unknown	0	NA	0.831080692	0.791833899	177	181	-0.022099448	-0.022347299	0.049564427	0.048375246	63.85388804	4.156597474	4
CETARTIODACTYLA	BOVIDAE	Alcelaphus	Alcelaphus_buselaphus	LC	decreasing	0	1	0.692871042	0.672794928	4134	4399	-0.060240964	-0.062131781	0.029839871	0.029403325	160937.9	11.98877386	12
RODENTIA	DIPODIDAE	Allactaga	Allactaga_hotsoni	LC	unknown	0	NA	0.45178299	0.866001208	14	62	-0.774193548	-1.488077055	-0.478311363	-0.650684349	76.5	4.337290741	4
PRIMATES	CERCOPITHECIDAE	Allenopithecus	Allenopithecus_nigroviridis	LC	unknown	0	NA	0.958491539	0.749830164	208	23	8.043478261	2.202043864	0.278278183	0.245514003	4749.96	8.465891476	8
PRIMATES	CHEIROGALEIDAE	Allocebus	Allocebus_trichotis	VU	decreasing	1	1	0.933037619	0.919369504	34	35	-0.028571429	-0.028987537	0.014866836	0.014757407	78.09	4.357862008	4
